cpd00001__91__e0__93___in,cpd00001__91__e0__93___out,cpd00007__91__e0__93___in,cpd00009__91__e0__93___in,cpd00011__91__e0__93___in,cpd00011__91__e0__93___out,cpd00013__91__e0__93___out,cpd00035__91__e0__93___out,cpd00041__91__e0__93___out,cpd00048__91__e0__93___in,cpd00067__91__e0__93___in,cpd00130__91__e0__93___in,cpd00155__91__c0__93___out,cpd00214__91__c0__93___out,cpd00227__91__e0__93___in,cpd00421__91__c0__93___out,cpd00528__91__e0__93___in,cpd11640__91__e0__93___out,cpd12836__91__c0__93___out,cpdPG6__91__c0__93___out,objective_out
-1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+02,-3.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.000000000000000000e+02,-4.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.400000000000000000e+01,-2.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.600000000000000000e+01,-8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.452500000000000000e+04,-1.560000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,6.825000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.490000000000000000e+04,-4.745000000000000000e+04,1.025000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.085500000000000000e+04,-6.240000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.755000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.262000000000000000e+04,-1.131000000000000000e+04,3.550000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.780000000000000000e+05,-7.990000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.142400000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.072700000000000000e+06,-5.712000000000000000e+05,0.000000000000000000e+00,6.970000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.944000000000000000e+04,-5.644000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,7.833600000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.296400000000000000e+04,-3.889600000000000000e+04,0.000000000000000000e+00,4.828000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.200000000000000000e+04,-4.800000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,2.160000000000000000e+04,0.000000000000000000e+00,2.400000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,-2.400000000000000000e+04,-1.200000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.200000000000000000e+03,1.200000000000000000e+03,4.800000000000000000e+01,0.000000000000000000e+00,1.200000000000000000e+03
0.000000000000000000e+00,1.295000000000000000e+05,-1.295000000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,2.952600000000000000e+05,0.000000000000000000e+00,5.254000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,-2.264400000000000000e+05,-1.132200000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.627000000000000000e+04,2.627000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,2.627000000000000000e+04
0.000000000000000000e+00,8.160000000000000000e+05,-4.080000000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,1.612800000000000000e+06,1.968000000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.809600000000000000e+06,-8.064000000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.840000000000000000e+04,9.840000000000000000e+04,4.032000000000000000e+03,0.000000000000000000e+00,9.840000000000000000e+04
0.000000000000000000e+00,1.628000000000000000e+05,-2.678800000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,4.972800000000000000e+05,1.050800000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.537200000000000000e+05,-1.243200000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.254000000000000000e+04,5.254000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,5.254000000000000000e+04
0.000000000000000000e+00,1.269000000000000000e+06,-5.238000000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,1.987200000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,2.214000000000000000e+05,0.000000000000000000e+00,-2.208600000000000000e+06,-1.215000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.107000000000000000e+05,1.107000000000000000e+05,4.968000000000000000e+03,0.000000000000000000e+00,1.107000000000000000e+05
0.000000000000000000e+00,1.148000000000000000e+05,-1.148000000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,2.060800000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,3.976000000000000000e+04,0.000000000000000000e+00,-1.428000000000000000e+05,-9.128000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.988000000000000000e+04,1.988000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.988000000000000000e+04
0.000000000000000000e+00,1.414800000000000000e+07,-5.598000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,2.476800000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.698200000000000000e+07,-1.238400000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.107000000000000000e+06,1.107000000000000000e+06,4.716000000000000000e+04,0.000000000000000000e+00,1.107000000000000000e+06
0.000000000000000000e+00,5.030400000000000000e+05,-4.121600000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,1.034240000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.352000000000000000e+05,-3.494400000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.816000000000000000e+04,6.816000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,6.816000000000000000e+04
0.000000000000000000e+00,9.800000000000000000e+04,-2.850000000000000000e+04,-6.150000000000000000e+04,0.000000000000000000e+00,7.600000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.650000000000000000e+04,-3.800000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.050000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.900000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.120000000000000000e+03,-2.280000000000000000e+03,-4.260000000000000000e+03,0.000000000000000000e+00,3.040000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.940000000000000000e+03,-7.600000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.420000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.064450000000000000e+06,-1.166100000000000000e+06,-2.078700000000000000e+06,0.000000000000000000e+00,3.802500000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.188300000000000000e+06,-2.247700000000000000e+06,2.665000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,6.929000000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,7.774000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.132780000000000000e+05,-9.328800000000000000e+04,-1.439880000000000000e+05,0.000000000000000000e+00,1.723800000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.061800000000000000e+05,-7.909200000000000000e+04,1.846000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,4.799600000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.904000000000000000e+06,-4.680000000000000000e+05,-1.230000000000000000e+05,0.000000000000000000e+00,4.938000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.184000000000000000e+06,-2.592000000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.890000000000000000e+03,1.230000000000000000e+05,0.000000000000000000e+00
0.000000000000000000e+00,1.845600000000000000e+05,-3.546000000000000000e+04,-8.520000000000000000e+03,0.000000000000000000e+00,3.199200000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.218400000000000000e+05,-1.609200000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.520000000000000000e+03,0.000000000000000000e+00
0.000000000000000000e+00,3.807600000000000000e+07,-6.713400000000000000e+06,-5.477600000000000000e+06,0.000000000000000000e+00,5.898440000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.309260000000000000e+07,-3.086160000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.369400000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,3.106200000000000000e+04,1.369400000000000000e+06,0.000000000000000000e+00
0.000000000000000000e+00,2.364720000000000000e+06,-5.150280000000000000e+05,-3.794240000000000000e+05,0.000000000000000000e+00,3.722096000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.758168000000000000e+06,-1.831656000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.485600000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.485600000000000000e+04,0.000000000000000000e+00
