M_pime_e,M_arg__L_e,M_pi_e,M_ala__L_e,M_val__L_e,M_his__L_e,M_ile__L_e,M_leu__L_e,M_met__L_e,M_o2_e,M_thm_e,objective
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-8.606210845862675152e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.092458627868827747e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-2.709940970131546334e-01,0.000000000000000000e+00,-9.392505887003441689e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.106431366317966514e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.909812451485020546e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.340006409086336447e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-5.472509908034511872e-01,0.000000000000000000e+00,-7.696719832124263583e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.288181736499543595e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-3.774361183550434817e-01,0.000000000000000000e+00,-8.936530422802524409e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.427472277582731763e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-6.019243976589911949e-01,0.000000000000000000e+00,-7.147236318214719164e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.561701133149519083e-01,0.000000000000000000e+00,0.000000000000000000e+00
-3.221952643836956935e-07,-3.132102835367727156e-01,-4.975892374483555092e-02,0.000000000000000000e+00,-2.159025096714072001e-02,-4.832928965755434181e-03,-1.482098216165000405e-02,-2.298326219270362472e-02,-1.591902362266963897e-02,-9.460702718380414877e-01,-3.221952643836956935e-07,5.369921073061594691e-02
-3.502351496538082383e-07,-3.111255579424662687e-02,-5.408932417961012651e-02,0.000000000000000000e+00,-2.346919900577673981e-02,-5.253527244807123381e-03,-1.611081688407517767e-02,-2.498344067530498813e-02,-1.730441827409535602e-02,-9.954583998050445803e-01,-3.502351496538082383e-07,5.837252494230138478e-02
-3.501753712656836561e-07,-8.545498836425922951e-02,-5.408009217472026231e-02,0.000000000000000000e+00,-2.346519326595158592e-02,-5.252630568985255065e-03,-1.610806707822144690e-02,-2.497917648361876533e-02,-1.730146474349489663e-02,-9.922729588056431460e-01,-3.501753712656836561e-07,5.836256187761396097e-02
-3.497957861059318286e-07,-9.722925808931377756e-02,-5.402147011813947935e-02,0.000000000000000000e+00,-2.343975732766080677e-02,-5.246936791588978181e-03,-1.609060616087286399e-02,-2.495209940888980238e-02,-1.728271019992188087e-02,-9.911973489241596713e-01,-3.497957861059318286e-07,5.829929768432198095e-02
-2.859925648069655545e-07,-4.776884010465222707e-01,-4.416788139652080142e-02,0.000000000000000000e+00,-1.916431410228729149e-02,-4.289888472104483493e-03,-1.315565798112041350e-02,-2.040080295623021220e-02,-1.413032064198254875e-02,-8.754521075678389774e-01,-2.859925648069655545e-07,4.766542746782759937e-02
-2.841216348515176993e-07,-4.821554315700944948e-01,-4.387894027516964224e-02,0.000000000000000000e+00,-1.903894339779438685e-02,-4.261824522772764308e-03,-1.306959520316981066e-02,-2.026734328607492433e-02,-1.403788173474378176e-02,-8.730401641759280018e-01,-2.841216348515176993e-07,4.735360580858627433e-02
-2.945864960962718466e-07,-4.463986927569677521e-01,-4.549510379536927940e-02,0.000000000000000000e+00,-1.974019200566182880e-02,-4.418797441444078690e-03,-1.355097882042850810e-02,-2.101383672153405921e-02,-1.455492959912459833e-02,-8.916285977673302776e-01,-2.945864960962718466e-07,4.909774934937863322e-02
-1.148322745354489330e-07,-7.680661790152460977e-01,-1.773437112114355577e-02,0.000000000000000000e+00,-7.694891577908011954e-03,-1.722484118031734164e-03,-5.282284628630650944e-03,-8.191368916862026492e-03,-5.673633020247459934e-03,-6.396906884936078841e-01,-1.148322745354489330e-07,1.913871242257482105e-02
-1.599031980202866272e-07,-2.670370734018110981e-01,-2.469499684319201305e-02,-8.254299134078958433e-01,-1.071508664880640484e-02,-2.398547970304300021e-03,-7.355547108933188465e-03,-1.140642812544711768e-02,-7.900497207786320517e-03,-4.956504524921655497e-01,-1.599031980202866272e-07,2.665053300338110845e-02
-1.595053283320036924e-07,-2.706352956979933833e-01,-2.463355097583103809e-02,-8.239260468068629883e-01,-1.068842546730618126e-02,-2.392579924980054937e-03,-7.337245103272168646e-03,-1.137804675434959598e-02,-7.880839262227637768e-03,-4.962091331649477466e-01,-1.595053283320036924e-07,2.658422138866728054e-02
-5.572112017595229959e-08,-9.254418476004548644e-02,-8.605411923466905685e-03,-9.661422451877006434e-01,-3.733862976137200269e-03,-8.358168026392844311e-04,-2.563171528093805603e-03,-3.974773239217929341e-03,-2.753069105653451181e-03,-2.404159911246980807e-01,-5.572112017595229959e-08,9.286853362658716721e-03
-1.613787508093204183e-07,-1.568888917289700258e-01,-2.492287703519747988e-02,-8.647562354936596529e-01,-1.081396319527409486e-02,-2.420681262139806004e-03,-7.423422537228737891e-03,-1.151168422439819046e-02,-7.973401319986903046e-03,-4.752514669590973129e-01,-1.613787508093204183e-07,2.689645846822007538e-02
-1.727962694376902240e-07,-1.679775419672936976e-01,-2.668616626252681007e-02,-8.440216182602371386e-01,-1.157904921564138247e-02,-2.591944041565352828e-03,-7.948628394133750927e-03,-1.232613388655523501e-02,-8.537518080377400065e-03,-5.073861464482394279e-01,-1.727962694376902240e-07,2.879937823961503662e-02
-1.329916059011795818e-07,-1.181408765755478582e-02,-2.053884680582811900e-02,-9.227992598404349822e-01,-8.911745346170394863e-03,-1.994874088517693822e-03,-6.117613871454259493e-03,-9.486734554284146498e-03,-6.570849264365481897e-03,-3.835815583846918786e-01,-1.329916059011795818e-07,2.216526765019660034e-02
-1.307044449071009235e-07,-1.161091152258079615e-02,-2.018562414219209761e-02,-9.249157926728931445e-01,-8.758483069150682643e-03,-1.960566673606513408e-03,-6.012404465726641119e-03,-9.323583736706532454e-03,-6.457845213970041590e-03,-3.785084160965297984e-01,-1.307044449071009235e-07,2.178407415118348636e-02
-4.904793554934748552e-08,-4.357091607967034791e-03,-7.574824197090501005e-03,-9.786355479608310759e-01,-3.286693986505850786e-03,-7.357190332402121450e-04,-2.256205035269984258e-03,-3.498752735853454497e-03,-2.423360399622160287e-03,-2.051700002721181804e-01,-4.904793554934748552e-08,8.174655924891248079e-03
-1.440153705885365193e-07,-1.279336542061499347e-02,-2.224132579014358180e-02,-9.115468536784359088e-01,-9.650445980576065341e-03,-2.160230558828048035e-03,-6.624707047072679600e-03,-1.027309643531560540e-02,-7.115511430038412577e-03,-4.093287338381121354e-01,-1.440153705885365193e-07,2.400256176475609390e-02
-1.603301008142500185e-07,-3.912612943052203029e-02,-2.476092650113379673e-02,-8.890260651400242464e-01,-1.074369333387942445e-02,-2.404951512213749937e-03,-7.375184637455500618e-03,-1.143688052474983383e-02,-7.921589621030464615e-03,-4.543187116373694212e-01,-1.603301008142500185e-07,2.672168346904167657e-02
-1.513783512430207638e-07,-4.207958920599473573e-02,-2.337844366064360455e-02,-9.008866284301114691e-01,-1.014383808706961591e-02,-2.270675268645311502e-03,-6.963404157178957644e-03,-1.079832238866881497e-02,-7.479301578215171754e-03,-4.302562191215089094e-01,-1.513783512430207638e-07,2.522972520717012973e-02
-1.618562296949597758e-07,-4.498956750041770841e-02,-2.499661752143878327e-02,-8.865063895099662972e-01,-1.084595897582097193e-02,-2.427843445424396861e-03,-7.445386565968149101e-03,-1.154574438490713062e-02,-7.996992596768573436e-03,-4.586432202814446080e-01,-1.618562296949597758e-07,2.697603828249329691e-02
-1.772714368634678147e-07,-2.960933941890611654e-01,-2.737729844012285613e-02,-7.847232302939446402e-01,-1.187892943898150033e-02,-2.659071552952017338e-03,-8.154486095719518102e-03,-1.264536249626070467e-02,-8.758627152550215247e-03,-5.426457611527464309e-01,-1.772714368634678147e-07,2.954523947724464056e-02
-1.765368526998878993e-07,-2.995836710781406564e-01,-2.726385134322136666e-02,-7.835390688014625127e-01,-1.182970507661070154e-02,-2.648052790498317977e-03,-8.120695224194840467e-03,-1.259296215925866796e-02,-8.722332818196058823e-03,-5.424569760228116211e-01,-1.765368526998878993e-07,2.942280878331464400e-02
-1.862631057743236544e-07,-2.822519294955664892e-01,-2.876594631032017985e-02,-7.747345384154832315e-01,-1.248145967408646577e-02,-2.793946586614855926e-03,-8.568102865618890118e-03,-1.328676821190175571e-02,-9.202887530097783250e-03,-5.637648501140847257e-01,-1.862631057743236544e-07,3.104385096238727187e-02
-5.466701943682450458e-08,-9.077724746990759042e-02,-8.442619591934770462e-03,-9.669055800707823112e-01,-3.663227861291704426e-03,-8.200052915523677044e-04,-2.514682894093927656e-03,-3.899580719826814187e-03,-2.700988096334625260e-03,-2.380249608413905482e-01,-5.466701943682450458e-08,9.111169906137417396e-03
-4.820673976866796930e-08,-4.282365382783338663e-03,-7.444912304110403237e-03,-9.789676630566915838e-01,-3.230325597441813072e-03,-7.231010965300194116e-04,-2.217510029358726615e-03,-3.438747436831648355e-03,-2.381798598490347200e-03,-2.035942623101865412e-01,-4.820673976866796930e-08,8.034456628111327423e-03
-4.725913281019688951e-08,-4.198186297972490884e-03,-7.298566570330511372e-03,-9.792560343787610755e-01,-3.166826613089159057e-03,-7.088869921529531532e-04,-2.173920109269056669e-03,-3.371151473794044111e-03,-2.334979233886207758e-03,-2.022192168394797984e-01,-4.725913281019688951e-08,7.876522135032815175e-03
-5.429618171689404430e-08,-1.002635840450919330e-01,-8.385348465175586352e-03,-9.654308535933759927e-01,-3.638378087485450146e-03,-8.144427257534107845e-04,-2.497624358977126174e-03,-3.873127629138441944e-03,-2.682665746268301371e-03,-2.401997888028931938e-01,-5.429618171689404430e-08,9.049363619482339929e-03
-5.153205006104086408e-08,-3.786392368658343943e-01,-7.958463803951975127e-03,-8.674962984916295694e-01,-3.453154085915337724e-03,-7.729807509156128281e-04,-2.370474302807879918e-03,-3.675952904354246997e-03,-2.546095529415906035e-03,-3.223464933443873082e-01,-5.153205006104086408e-08,8.588675010173478855e-03
-5.138426489017377474e-08,-3.797839529064923614e-01,-7.935640280887914372e-03,-8.669482320666112019e-01,-3.443251026246395285e-03,-7.707639733526066780e-04,-2.363676184947993437e-03,-3.665410895499062079e-03,-2.538793759693706072e-03,-3.224758550059548257e-01,-5.138426489017377474e-08,8.564044148362294495e-03
-7.781350494216426167e-08,-5.204627502023589924e-01,-1.201729723167051581e-02,-7.354053282791215285e-01,-5.214269997256938162e-03,-1.167202574132464006e-03,-3.579421227339555766e-03,-5.550696685874385861e-03,-3.844609652182451407e-03,-4.334719899255126130e-01,-7.781350494216426167e-08,1.296891749036071032e-02
